fio,faculty,title,degree
Кузнецов Е.П.,ИТМО,,к.н.
Лебедева Е.П.,ФИВТ,профессор,
Морозов К.М.,ФФ,профессор,д.н.
Алексеев З.Т.,ФПМИ,доцент,к.н.
Волков В.И.,ФМиМ,профессор,к.н.
Иванов Л.О.,ФИТ,ассистент,к.н.
Петров Е.П.,ФРТ,ассистент,
Соколов М.Ю.,ФИВТ,профессор,
Волков М.Ю.,ФИТ,профессор,д.н.
Морозов Ж.Р.,ФУПМ,,к.н.
Иванов И.К.,ФФ,ассистент,
Кузнецов Ж.Р.,ФИТ,доцент,д.н.
Смирнов И.К.,ФПМИ,профессор,
Иванов М.Ю.,ФМиМ,,
Иванов В.И.,ФИТ,,к.н.
Алексеев М.Ю.,ФЭТ,доцент,к.н.
Алексеев Б.В.,ИТМО,,д.н.
Алексеев В.И.,ФМиМ,ассистент,
Кузнецов И.К.,ФРТ,профессор,д.н.
Волков Г.Н.,ФРТ,,д.н.
Попов Л.О.,ФМиМ,доцент,к.н.
Иванов З.Т.,ФМиЕН,,д.н.
Сидоров К.М.,ФМиМ,ассистент,д.н.
Волков Л.О.,ФИТ,профессор,д.н.
Сидоров И.К.,ФМиЕН,ассистент,д.н.
Волков К.М.,ФИТ,ассистент,к.н.
Соколов К.М.,ФПМИ,ассистент,
Попов И.К.,ФРТ,доцент,
Соколов М.Ю.,ФЭТ,ассистент,д.н.
Соколов Л.О.,ФРТ,профессор,д.н.
Лебедев К.М.,ФРТ,профессор,к.н.
Морозов З.Т.,ФФ,профессор,к.н.
Петров З.Т.,ФФ,,к.н.
Морозов Ж.Р.,ФФ,ассистент,д.н.
Лебедев А.А.,ФИВТ,профессор,д.н.
Смирнов Л.О.,ФИВТ,,
Соколов Г.Н.,ФМиЕН,доцент,к.н.
Морозов Е.П.,ФФ,профессор,д.н.
Лебедев Г.Н.,ФУПМ,ассистент,
Козлов З.Т.,ФЭТ,доцент,к.н.
Волков Ж.Р.,ФФ,профессор,к.н.
Попов В.И.,ИТМО,,д.н.
Лебедева Б.В.,ФИТ,профессор,д.н.
Козлов К.М.,ФМиМ,доцент,к.н.
Петров З.Т.,ФРТ,доцент,д.н.
Попов К.М.,ФПМИ,доцент,к.н.
Смирнов Е.П.,ФЭТ,,к.н.
Новиков З.Т.,ФУПМ,профессор,к.н.
Волков Ж.Р.,ФИТ,ассистент,д.н.
Новиков Е.П.,ФЭТ,профессор,к.н.
Смирнов Б.В.,ФМиМ,,к.н.
Алексеев Е.П.,ФФ,,
Новиков К.М.,ФМиМ,ассистент,
Волков Л.О.,ФПМИ,ассистент,д.н.
Егоров М.Ю.,ФУПМ,профессор,д.н.
Лебедев К.М.,ФМиЕН,доцент,к.н.
Козлов Л.О.,ФИТ,,
Лебедев Е.П.,ФРТ,профессор,д.н.
Иванов Д.С.,ФМиЕН,доцент,
Петров Е.П.,ФФ,доцент,к.н.
Лебедев Л.О.,ФФ,доцент,д.н.
Лебедева К.М.,ФИВТ,ассистент,
Смирнов В.И.,ИТМО,профессор,к.н.
Кузнецов В.И.,ФФ,,к.н.
Соколов Г.Н.,ФМиМ,профессор,
Соколов З.Т.,ИТМО,профессор,
Иванов Л.О.,ФМиЕН,ассистент,к.н.
Кузнецов Д.С.,ФИТ,ассистент,к.н.
Смирнов В.И.,ФМиМ,ассистент,д.н.
Петров Б.В.,ФФ,доцент,к.н.
Новиков В.И.,ФРТ,ассистент,
Волков А.А.,ФФ,,к.н.
Морозов Б.В.,ИТМО,ассистент,
Иванов Л.О.,ФФ,профессор,д.н.
Козлов М.Ю.,ФМиЕН,ассистент,к.н.
Лебедев К.М.,ФПМИ,,д.н.
Сидоров К.М.,ФМиЕН,ассистент,к.н.
Смирнов К.М.,ФФ,ассистент,к.н.
Козлов И.К.,ФРТ,доцент,к.н.
Соколов Л.О.,ФЭТ,,
Кузнецов Ж.Р.,ФМиЕН,доцент,к.н.
Лебедев М.Ю.,ФИВТ,,
Попов М.Ю.,ФМиЕН,,к.н.
Алексеев З.Т.,ИТМО,,
Морозов Л.О.,ФИТ,доцент,
Иванов Е.П.,ФИТ,,к.н.
Попов Л.О.,ФИТ,доцент,д.н.
Иванов Д.С.,ФИТ,,к.н.
Лебедева З.Т.,ФЭТ,профессор,
Лебедев М.Ю.,ФМиМ,доцент,д.н.
Попов В.И.,ФМиМ,профессор,
Кузнецов К.М.,ИТМО,профессор,д.н.
Смирнов Л.О.,ФИТ,,к.н.
Смирнов В.И.,ИТМО,,
Алексеев Б.В.,ФМиЕН,доцент,к.н.
Семенов И.К.,ФМиЕН,доцент,к.н.
Егоров Г.Н.,ФМиМ,ассистент,к.н.
Сидоров Л.О.,ФИВТ,,
Кузнецов Л.О.,ФУПМ,доцент,
Петров И.К.,ФИТ,,
Попов А.А.,ФМиМ,профессор,
Семенов К.М.,ФМиМ,профессор,д.н.
Петров Б.В.,ФПМИ,ассистент,к.н.
Семенов И.К.,ФУПМ,ассистент,д.н.
Семенов Б.В.,ФУПМ,ассистент,к.н.
Иванов Г.Н.,ФМиМ,ассистент,к.н.
Петров М.Ю.,ФИВТ,,
Семенов Г.Н.,ФИВТ,доцент,д.н.
